name,pulse,quality,swh,t_p,t_m,d_p,d_m,wswh,wt_p,wt_m,wd_p,sw1_swh,sw1_t_p,sw1_d_p,sw2_swh,sw2_t_p,sw2_d_p,ide_sys,curr_speed,curr_dir,curr_x,curr_y,wspd_proc,u_x,u_y,wind_sig,wind_dir,sog_proc,cog_proc,hdg_proc
2022-11-05_06-55-33,1,1,1.3432,11.0836,10.2517,210.0000,230.4617,0.0000,0.0000,0.0000,0.0000,1.3432,11.5019,210.0000,0.0000,0.0000,0.0000,1,4.4993,160.6942,1.4875,-4.2463,6.5012,-0.0634,-0.0083,14.7388,139.3067,4.5129,159.9000,157.0000
2022-11-04_12-57-11,1,1,1.6967,13.5467,9.3997,160.0000,164.4328,1.6967,7.0069,7.1708,160.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,3.8751,251.0311,-3.6646,-1.2596,6.1221,-0.1670,-0.3159,13.6238,125.2423,3.6227,254.9000,248.5000
2022-11-03_12-58-51,1,1,1.3451,14.1767,9.2871,120.0000,104.2782,1.3451,6.4851,7.0189,120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.4521,206.6996,-2.0004,-3.9774,6.0195,-0.1475,0.1263,13.3221,147.7295,4.5026,204.3000,199.0000
2022-11-03_06-58-01,1,1,1.3177,15.2400,10.5610,110.0000,152.0698,0.0000,0.0000,0.0000,0.0000,1.3177,9.3785,120.0000,0.0000,0.0000,0.0000,1,4.4666,1.1808,0.0920,4.4657,6.3267,0.1882,-0.1234,14.2255,48.3656,4.5901,358.8000,1.3000
2022-11-04_16-58-26,1,1,1.5232,16.9333,10.8490,150.0000,174.5837,1.5232,7.5259,7.2700,150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.6563,50.2905,3.5821,2.9749,5.6893,0.1397,0.0966,12.3508,160.2539,4.4872,50.1000,52.9000
2022-11-02_16-58-10,1,0,1.2786,14.8683,10.1430,210.0000,273.9055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.1369,155.7966,1.6960,-3.7733,6.8779,-0.0655,-0.0298,15.8468,163.8428,4.1372,154.8000,148.8000
2022-11-02_12-59-52,1,0,1.2455,15.2400,10.1874,330.0000,296.2811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.0551,152.4065,1.8783,-3.5939,6.7989,-0.0775,-0.0066,15.6145,147.2599,4.0858,151.4000,150.5000
2022-11-02_10-59-48,1,0,1.2499,15.2400,10.3298,330.0000,302.3932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,3.8279,153.4101,1.7134,-3.4230,6.4832,-0.0747,-0.0028,14.6858,149.8166,3.8594,152.4000,152.0000
2022-11-02_08-55-45,1,1,1.6836,11.9529,8.8811,140.0000,151.8682,1.6836,7.2571,7.3397,140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0.4366,297.6653,-0.3867,0.2027,6.5967,-0.3590,0.1089,15.0198,169.9903,0.0978,343.6000,142.1000
2022-11-01_18-56-52,1,1,1.3867,14.5143,10.6150,330.0000,323.6245,0.0000,0.0000,0.0000,0.0000,1.3867,13.8545,340.0000,0.0000,0.0000,0.0000,1,3.6908,175.0699,0.3172,-3.6772,7.0029,-0.1885,0.1126,16.2145,156.7334,3.8234,172.4000,169.3000
2022-11-01_12-57-30,1,1,1.5338,12.4408,9.8677,140.0000,128.0536,1.5338,8.0211,7.7233,140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.8951,27.8257,2.2849,4.3291,7.0119,0.2543,0.0525,16.2410,151.8854,4.7342,25.4000,32.0000
2022-11-01_10-56-55,1,1,1.5027,14.5143,10.8633,330.0000,335.1812,0.0000,0.0000,0.0000,0.0000,1.5027,14.1767,330.0000,0.0000,0.0000,0.0000,1,3.2786,180.1890,-0.0108,-3.2786,7.2964,-0.2247,0.1213,17.0776,189.1544,3.4065,176.4000,172.3000
2022-11-01_06-57-27,1,1,1.3901,15.6308,11.3665,330.0000,327.1630,0.0000,0.0000,0.0000,0.0000,1.3901,14.8683,340.0000,0.0000,0.0000,0.0000,1,2.0762,167.2831,0.4571,-2.0253,7.0077,-0.1430,0.0402,16.2286,187.1113,2.1510,163.8000,160.8000
2022-10-31_16-57-20,1,1,1.8267,15.2400,11.6259,330.0000,257.3632,0.0000,0.0000,0.0000,0.0000,1.2657,11.5019,190.0000,1.3171,15.2400,330.0000,2,3.7669,95.9978,3.7462,-0.3936,7.2300,-0.1950,0.1043,16.8823,122.1309,3.9726,97.2000,99.6000
2022-10-31_10-59-07,1,0,1.4269,16.9333,11.4716,330.0000,337.6062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.1456,176.8162,0.2302,-4.1392,7.4543,-0.1065,0.0463,17.5421,156.5617,4.1990,175.4000,171.0000
2022-10-31_12-57-47,1,1,1.5880,12.7000,11.2151,330.0000,168.1513,0.0000,0.0000,0.0000,0.0000,1.5880,14.1767,200.0000,0.0000,0.0000,0.0000,1,2.9605,1.4989,0.0774,2.9595,7.4194,0.3213,-0.1390,17.4393,263.8083,3.1081,355.5000,359.5000
2022-10-31_06-59-49,1,1,2.0573,12.1920,9.9509,170.0000,163.9797,2.0573,7.4341,7.5528,160.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,0.3540,316.1930,-0.2451,0.2555,7.3153,-0.3972,0.2295,17.1332,166.5146,0.1544,80.3000,132.1000
